city;district;roomCount;houseSize;elevator;isInsideSite;hasSecurity;hasParking;aidat;rent;buildAge
Istanbul;Eyüpsultan;1+1;55;False;False;False;False;0;6000;30
Istanbul;Eyüpsultan;1+1;60;False;False;False;False;0;7500;30
Istanbul;Eyüpsultan;1+1;50;False;False;False;False;0;11000;28
Istanbul;Eyüpsultan;1+1;55;False;False;False;False;0;13000;25
Istanbul;Eyüpsultan;1+1;65;False;False;False;False;0;13500;25
Istanbul;Eyüpsultan;1+1;50;True;False;False;False;0;15000;25
Istanbul;Eyüpsultan;1+1;60;False;False;False;False;0;15000;24
Istanbul;Eyüpsultan;1+1;60;True;False;False;False;100;20000;20
Istanbul;Eyüpsultan;1+1;60;True;False;False;True;2100;26000;18
Istanbul;Eyüpsultan;1+1;60;True;False;False;True;200;27000;16
Istanbul;Eyüpsultan;1+1;57;True;True;True;True;2200;30000;15
Istanbul;Eyüpsultan;1+1;55;True;True;True;True;1000;30000;11
Istanbul;Eyüpsultan;1+1;55;True;True;True;True;3000;42000;5
Istanbul;Eyüpsultan;1+1;41;True;True;True;True;4120;22500;10
Istanbul;Eyüpsultan;1+1;45;True;True;True;True;4500;30000;9
Istanbul;Eyüpsultan;1+1;50;True;True;True;True;1000;30000;14
Istanbul;Eyüpsultan;1+1;45;True;True;True;True;2800;30000;8
Istanbul;Eyüpsultan;1+1;50;True;True;True;True;2500;35000;2
Istanbul;Eyüpsultan;1+1;55;True;True;True;True;2500;45000;5
Istanbul;Eyüpsultan;1+1;60;True;True;True;True;5200;42500;5
Istanbul;Eyüpsultan;1+1;55;True;True;True;True;5000;43000;4
Istanbul;Eyüpsultan;1+1;65;False;False;False;False;0;17000;28
Istanbul;Eyüpsultan;1+1;75;False;False;False;False;100;18000;19
Istanbul;Eyüpsultan;1+1;65;False;False;False;False;500;22000;11
Istanbul;Eyüpsultan;1+1;65;False;False;False;False;200;22000;4
Istanbul;Eyüpsultan;1+1;55;False;True;True;True;5000;40000;5
Istanbul;Eyüpsultan;1+1;70;False;False;False;False;500;26000;15
Istanbul;Eyüpsultan;1+1;45;False;False;False;False;300;27000;7
Istanbul;Eyüpsultan;1+1;55;False;False;False;False;500;35000;5
Istanbul;Eyüpsultan;2+1;80;True;False;False;False;0;9000;16
Istanbul;Eyüpsultan;2+1;55;True;False;False;False;300;11500;12
Istanbul;Eyüpsultan;2+1;70;True;False;False;False;500;13500;4
Istanbul;Eyüpsultan;2+1;75;False;False;False;False;150;15000;21
Istanbul;Eyüpsultan;2+1;70;False;False;False;False;0;15500;10
Istanbul;Eyüpsultan;2+1;75;False;False;False;False;500;18500;26
Istanbul;Eyüpsultan;2+1;60;True;False;False;False;500;19000;15
Istanbul;Eyüpsultan;2+1;65;False;False;False;False;0;20000;20
Istanbul;Eyüpsultan;2+1;70;True;False;False;False;0;23000;20
Istanbul;Eyüpsultan;2+1;75;False;False;False;False;0;18000;27
Istanbul;Eyüpsultan;2+1;80;False;False;False;False;0;19000;26
Istanbul;Eyüpsultan;2+1;85;False;False;False;False;0;22000;19
Istanbul;Eyüpsultan;2+1;60;False;False;False;False;0;20000;23
Istanbul;Eyüpsultan;2+1;65;False;False;False;False;0;18000;18
Istanbul;Eyüpsultan;2+1;70;False;False;False;False;0;21000;17
Istanbul;Eyüpsultan;2+1;75;True;True;True;True;1200;28000;15
Istanbul;Eyüpsultan;2+1;80;True;True;True;True;1500;30000;9
Istanbul;Eyüpsultan;2+1;85;True;True;True;True;2100;34000;7
Istanbul;Eyüpsultan;2+1;60;True;True;True;True;1200;27000;16
Istanbul;Eyüpsultan;2+1;65;True;True;True;True;1300;28000;14
Istanbul;Eyüpsultan;2+1;70;True;True;True;True;1400;29000;12
Istanbul;Eyüpsultan;2+1;75;True;True;True;True;1600;30000;9
Istanbul;Eyüpsultan;2+1;80;True;True;True;True;1700;32000;9
Istanbul;Eyüpsultan;2+1;85;True;True;True;True;2500;40000;8
Istanbul;Eyüpsultan;2+1;60;True;True;True;True;2000;34000;5
Istanbul;Eyüpsultan;2+1;65;True;True;True;True;2600;38000;5
Istanbul;Eyüpsultan;2+1;70;True;True;True;True;3000;50000;4
Istanbul;Eyüpsultan;2+1;75;True;True;True;True;3200;52000;4
Istanbul;Eyüpsultan;2+1;55;True;True;True;True;1250;34000;15
Istanbul;Eyüpsultan;2+1;60;True;True;True;True;1600;38000;12
Istanbul;Eyüpsultan;3+1;65;True;False;False;False;800;27000;18
Istanbul;Eyüpsultan;3+1;70;True;False;False;False;700;30000;15
Istanbul;Eyüpsultan;3+1;75;False;False;False;False;0;28000;18
Istanbul;Eyüpsultan;3+1;80;False;False;False;False;0;25000;27
Istanbul;Eyüpsultan;3+1;85;False;False;False;False;0;24000;30
Istanbul;Eyüpsultan;3+1;90;False;False;False;False;0;32000;25
Istanbul;Eyüpsultan;3+1;95;False;False;False;False;0;37000;20
Istanbul;Eyüpsultan;3+1;60;False;False;False;False;0;23000;21
Istanbul;Eyüpsultan;3+1;65;False;False;False;True;500;24000;18
Istanbul;Eyüpsultan;3+1;70;False;False;False;True;500;27000;24
Istanbul;Eyüpsultan;3+1;75;False;False;False;False;0;31000;21
Istanbul;Eyüpsultan;3+1;80;False;False;False;False;0;34000;17
Istanbul;Eyüpsultan;3+1;85;False;False;False;False;0;37000;14
Istanbul;Eyüpsultan;3+1;90;False;False;False;False;0;37000;19
Istanbul;Eyüpsultan;3+1;95;False;False;False;False;0;41000;14
Istanbul;Eyüpsultan;3+1;65;True;True;True;True;1600;39000;10
Istanbul;Eyüpsultan;3+1;70;True;True;True;True;1800;41000;8
Istanbul;Eyüpsultan;3+1;75;True;True;True;True;1800;40000;11
Istanbul;Eyüpsultan;3+1;80;True;True;True;True;2000;39000;18
Istanbul;Eyüpsultan;3+1;85;True;True;True;True;2100;32000;20
Istanbul;Eyüpsultan;3+1;90;True;True;True;True;2200;35000;17
Istanbul;Eyüpsultan;3+1;95;True;True;True;True;2400;37000;14
Istanbul;Eyüpsultan;3+1;100;True;True;True;True;2400;36000;15
Istanbul;Eyüpsultan;3+1;85;True;True;True;True;3000;39000;12
Istanbul;Eyüpsultan;3+1;90;True;True;True;True;3000;40000;10
Istanbul;Eyüpsultan;3+1;95;True;True;True;True;3000;40000;11
Istanbul;Eyüpsultan;3+1;85;True;True;True;True;3200;41000;10
Istanbul;Eyüpsultan;3+1;90;True;True;True;True;3400;48000;7
Istanbul;Eyüpsultan;3+1;95;True;True;True;True;3000;43000;12
Istanbul;Eyüpsultan;3+1;80;True;True;True;True;3100;40000;16
Istanbul;Eyüpsultan;4+1;95;True;True;True;True;2800;65000;7
Istanbul;Eyüpsultan;4+1;100;True;True;True;True;2700;61000;10
Istanbul;Eyüpsultan;4+1;110;True;True;True;True;2400;60000;14
Istanbul;Eyüpsultan;4+1;85;True;True;True;True;1900;57000;21
Istanbul;Eyüpsultan;4+1;90;True;True;True;True;2700;62000;9
Istanbul;Eyüpsultan;4+1;95;True;True;True;True;2600;62000;10
Istanbul;Eyüpsultan;4+1;100;True;True;True;True;2600;68000;7
Istanbul;Eyüpsultan;4+1;110;True;True;True;True;2600;59000;16
Istanbul;Eyüpsultan;4+1;90;True;True;True;True;2400;64000;6
Istanbul;Eyüpsultan;4+1;95;True;True;True;True;2300;64000;6
Istanbul;Eyüpsultan;4+1;100;True;True;True;True;2500;70000;3
Istanbul;Eyüpsultan;4+1;110;True;True;True;True;2100;67000;14
Istanbul;Eyüpsultan;4+1;120;True;False;False;True;1000;54000;24
Istanbul;Eyüpsultan;4+1;95;True;False;False;True;1100;56000;23
Istanbul;Eyüpsultan;4+1;90;False;False;False;True;800;49000;26
Istanbul;Eyüpsultan;4+1;100;False;False;False;True;800;50000;28
Istanbul;Eyüpsultan;4+1;100;False;False;False;False;0;45000;30
Istanbul;Eyüpsultan;4+1;110;False;False;False;False;0;48000;29
Istanbul;Eyüpsultan;4+1;120;False;False;False;False;0;50000;26
Istanbul;Eyüpsultan;4+1;105;False;False;False;False;0;47000;27
Istanbul;Eyüpsultan;4+1;95;True;True;True;True;2600;59000;18
Istanbul;Eyüpsultan;4+1;105;True;True;True;True;3000;52000;27
Istanbul;Eyüpsultan;4+1;90;True;True;True;True;3800;61000;10
Istanbul;Eyüpsultan;4+1;120;True;True;True;True;3900;60000;17
Istanbul;Eyüpsultan;4+1;100;True;True;True;True;3900;62000;14
Istanbul;Eyüpsultan;4+1;105;True;True;True;True;4000;60000;18
Istanbul;Eyüpsultan;4+1;120;True;True;True;True;4100;67000;12
Istanbul;Eyüpsultan;4+1;90;True;True;True;True;4200;70000;8
Istanbul;Eyüpsultan;4+1;95;True;True;True;True;4300;75000;5
Istanbul;Eyüpsultan;4+1;100;True;True;True;True;4000;52000;25
